"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","1.3512","1.3525","1.3551","1.3302","","-0.10%"
"11/01/2017","1.3525","1.3282","1.3549","1.3039","","1.83%"
"10/01/2017","1.3282","1.3389","1.3404","1.3026","","-0.85%"
"09/01/2017","1.3396","1.2931","1.3657","1.2904","","3.61%"
"08/01/2017","1.2929","1.3215","1.3267","1.2773","","-2.14%"
"07/01/2017","1.3212","1.3015","1.3225","1.2810","","1.44%"
"06/01/2017","1.3025","1.2890","1.3032","1.2588","","1.06%"
"05/01/2017","1.2888","1.2953","1.3049","1.2768","","-0.45%"
"04/01/2017","1.2946","1.2541","1.2967","1.2364","","3.20%"
"03/01/2017","1.2545","1.2381","1.2616","1.2108","","1.33%"
"02/01/2017","1.2380","1.2582","1.2708","1.2346","","-1.57%"
"01/01/2017","1.2577","1.2345","1.2675","1.1983","","1.95%"
"12/01/2016","1.2336","1.2505","1.2776","1.2198","","-1.34%"
"11/01/2016","1.2504","1.2242","1.2675","1.2205","","2.14%"
"10/01/2016","1.2242","1.2945","1.2949","1.1636","","-5.65%"
"09/01/2016","1.2975","1.3140","1.3448","1.2914","","-1.23%"
"08/01/2016","1.3137","1.3237","1.3373","1.2865","","-0.67%"
"07/01/2016","1.3226","1.3311","1.3482","1.2799","","-0.60%"
"06/01/2016","1.3306","1.4478","1.5021","1.3120","","-8.09%"
"05/01/2016","1.4477","1.4610","1.4770","1.4332","","-0.92%"
"04/01/2016","1.4611","1.4361","1.4671","1.4006","","1.76%"
"03/01/2016","1.4358","1.3918","1.4516","1.3903","","3.18%"
"02/01/2016","1.3915","1.4239","1.4670","1.3835","","-2.32%"
"01/01/2016","1.4245","1.4736","1.4815","1.4081","","-3.35%"
"12/01/2015","1.4738","1.5056","1.5240","1.4724","","-2.10%"
"11/01/2015","1.5054","1.5453","1.5498","1.4993","","-2.42%"
"10/01/2015","1.5428","1.5129","1.5510","1.5107","","1.99%"
"09/01/2015","1.5127","1.5344","1.5660","1.5107","","-1.40%"
"08/01/2015","1.5342","1.5630","1.5819","1.5335","","-1.79%"
"07/01/2015","1.5622","1.5711","1.5735","1.5330","","-0.53%"
"06/01/2015","1.5705","1.5294","1.5930","1.5170","","2.73%"
